,City,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
0,Chuy,-33.69,-53.46,50.27,81,0,2.42
1,Kaitangata,-46.28,169.85,44.01,88,100,13
2,Atuona,-9.8,-139.03,79.79,71,6,24.81
3,Saskylakh,71.97,114.09,58.73,53,0,6.93
4,Rikitea,-23.12,-134.97,71.15,82,100,16.73
5,Punta Arenas,-53.16,-70.91,35.6,55,75,17.22
6,Ushuaia,-54.81,-68.31,26.6,86,75,28.86
7,Yellowknife,62.45,-114.38,60.8,63,75,2.24
8,Longyearbyen,78.22,15.63,44.6,70,75,5.82
9,Arraial do Cabo,-22.97,-42.02,77,73,0,14.99
10,Muros,42.77,-9.06,66,77,40,4.7
11,Nemuro,43.32,145.57,59.45,83,100,5.5
12,Konevo,41.67,25.61,80.01,62,0,1.01
13,Ponta do Sol,-20.63,-46,70.25,49,35,5.01
14,Erzurum,39.91,41.27,64.4,52,0,10.29
15,Dwarka,28.58,77.04,90,83,40,3.36
16,Mahebourg,-20.41,57.7,69.8,68,40,11.41
17,Georgetown,6.8,-58.16,87.8,70,40,13.87
18,Bredasdorp,-34.53,20.04,60.01,62,0,6.93
19,Avarua,-21.21,-159.78,78.8,83,38,3.36
20,Norman Wells,65.28,-126.83,51.8,93,90,6.93
21,Victoria,5.28,115.24,82.4,83,75,2.24
22,Kantang,7.42,99.52,75.65,95,100,4.43
23,Bara,10.41,10.6,74.93,82,71,4.25
24,Ahipara,-35.17,173.16,57.99,100,0,27.56
25,Podstepki,53.52,49.14,62.6,100,75,6.71
26,Torbay,47.66,-52.73,73,94,75,9.17
27,Puerto Ayora,-0.74,-90.35,75.2,69,20,21.92
28,Bitkine,11.98,18.21,77.99,81,100,2.35
29,Port Alfred,-33.59,26.89,59,63,0,3
30,Bharuch,21.71,73,81.41,75,88,21.03
31,Kahului,20.89,-156.47,84.99,66,40,5.82
32,Haines Junction,60.75,-137.51,59.81,36,3,2.42
33,Geraldton,49.72,-86.95,75.2,44,40,8.05
34,Mecca,21.43,39.83,88.97,48,0,4.63
35,Hermanus,-34.42,19.24,60.01,60,70,8.01
36,Vaini,15.34,74.49,76.19,88,44,8.28
37,Dzilam Gonzalez,21.28,-88.93,89.01,75,94,18.01
38,Bethel,60.79,-161.76,64.4,77,75,6.93
39,Gayny,60.3,54.33,50.09,97,100,6.53
40,Cayenne,4.94,-52.33,77,88,87,4.7
41,Chokurdakh,70.62,147.9,62.33,56,8,10.33
42,Khatanga,71.98,102.47,64.49,72,51,8.66
43,New Norfolk,-42.78,147.06,46.4,75,40,11.41
44,Kaeo,-35.1,173.78,59,100,65,12.44
45,Bonavista,48.65,-53.11,63,76,42,1.99
46,Esso,55.93,158.7,50.81,79,100,4.43
47,Faanui,-16.48,-151.75,79.25,81,36,19.6
48,Bambous Virieux,-20.34,57.76,69.8,68,40,11.41
49,Carnarvon,-30.97,22.13,50.63,21,0,10.71
50,Busselton,-33.64,115.35,50,58,99,18.16
51,Ribeira Grande,38.52,-28.7,71.6,78,40,18.34
52,Aklavik,68.22,-135.01,44.6,93,90,6.93
53,Atar,20.52,-13.05,104.45,12,7,14.58
54,Umm Kaddadah,13.6,26.69,82.67,44,94,12.39
55,Cherskiy,68.75,161.3,54.05,75,2,6.08
56,Albany,42.65,-73.75,75.2,38,40,16.11
57,Jamestown,-33.21,138.6,44.87,95,82,13.76
58,Sanica,44.62,16.65,75.2,83,0,2.24
59,Rajsamand,25.06,73.89,73.31,92,100,12.57
60,Butaritari,3.07,172.79,83.39,76,88,10.74
61,Mataura,-46.19,168.86,41,90,100,8.01
62,Sivas,39.75,37.01,55.4,66,0,11.41
63,East London,-33.02,27.91,63.05,24,0,6.24
64,Lompoc,34.64,-120.46,84.99,73,1,13.87
65,Wenling,28.38,121.38,80.01,53,84,5.3
66,Manggar,-2.88,108.27,73.31,90,33,3.09
67,Grindavik,63.84,-22.43,50,61,40,19.46
68,Victoria,5.28,115.24,82.4,83,75,2.24
69,Komsomolskiy,67.55,63.78,40.73,71,100,6.87
70,Dikson,73.51,80.55,40.91,94,6,1.36
71,Port Lincoln,-34.72,135.86,53.87,75,83,23.64
72,Taywarah,33.35,64.42,61.61,28,0,7.29
73,Ulladulla,-35.36,150.48,48.2,57,84,26.4
74,Pevek,69.7,170.27,40.19,93,0,7.9
75,Port Elizabeth,39.31,-74.98,86,39,75,8.05
76,Jawhar,19.91,73.23,76.73,90,68,11.77
77,Tuktoyaktuk,69.44,-133.03,39.2,93,90,4.7
78,Hilo,19.71,-155.08,82.4,69,75,6.11
79,Joshimath,30.57,79.57,56.57,95,91,0.29
80,Touros,-5.2,-35.46,80.6,69,20,11.41
81,Narsaq,60.91,-46.05,59,58,40,9.17
82,Scottsbluff,41.87,-103.67,82.4,65,1,4.7
83,Cap Malheureux,-19.98,57.61,69.8,68,40,11.41
84,Fereydun Kenar,36.69,52.52,78.8,78,90,2.24
85,Voyvozh,62.89,54.96,45.05,84,68,6.58
86,Lethbridge,49.69,-112.85,57.99,82,90,8.05
87,Nioro,13.79,-15.05,83.75,62,59,14.63
88,Porto,41.15,-8.61,69.01,82,0,5.82
89,Ternate,14.29,120.72,84.99,83,75,10.29
90,Vardo,39.62,-77.74,84.2,35,40,11.41
91,Kruisfontein,-34,24.73,48.29,69,0,5.95
92,Castro,-42.48,-73.76,48.2,100,90,6.93
93,Qaanaaq,77.48,-69.36,43.61,66,100,1.68
94,Barrow,-38.31,-60.23,56.21,42,0,8.99
95,Hasaki,35.73,140.83,75.2,100,20,1.12
96,Soyo,-6.13,12.37,73.4,78,40,5.82
97,Wokha,26.1,94.25,75.29,92,98,2.57
98,Ancud,-41.87,-73.83,48.2,100,90,6.93
99,Vestmannaeyjar,63.44,-20.27,51.53,63,0,25.01
100,Sola,-3.17,33.8,70.25,66,87,1.88
101,Pringsewu,-5.36,104.98,67.01,97,93,1.77
102,Araouane,18.9,-3.53,102.83,18,47,12.24
103,Madhogarh,28.31,76.03,84.29,71,54,7.02
104,Kaffrine,14.1,-15.55,80.33,70,40,14.63
105,Samarai,-10.62,150.67,74.39,93,46,4.43
106,Constitucion,23.99,-104.67,81,30,75,9.17
107,Felipe Carrillo Puerto,19.58,-88.05,98.87,33,89,6.6
108,Waddan,29.16,16.14,81.77,39,0,6.93
109,San Rafael,-34.61,-68.33,61.61,8,63,16.28
110,Hambantota,6.12,81.12,80.51,81,100,19.1
111,Bafata,12.17,-14.67,77.63,93,100,5.91
112,Half Moon Bay,37.46,-122.43,79,88,75,6.93
113,Pemba,-12.97,40.52,75.2,78,20,18.34
114,Nome,30.04,-94.42,98.01,59,20,10.29
115,Ponta Delgada,37.73,-25.67,66.2,100,75,6.93
